Region,Chapter_SubChapter,Chapter_Lookup,Chapter_ID,No_Ambu,BRAND,Plate_No,STATUS
XIII,Agusan del Norte ,Agusan del Norte,68,1,L300 Van / 2005,ZFD 927,Functional
XIII,Agusan del Norte ,Agusan del Norte,68,1,Ford Ranger 4x4 / 2009,NIE 522,Functional
XIII,Agusan del Sur ,Agusan del Sur,69,1,Ford Ranger 4x4 / 2009,NIS 852,Functional
VI,Aklan ,Aklan,51,1,Ford Ranger 4x4 / 2009,PQU 987,Functional
I,Alaminos City - Western Pangasinan,Alaminos City,2,1,L300 Mitsubishi,AEM 136,Functional
IV-B,Albay Legaspi City ,Albay,45,1,Ford Ranger 4x4 / 2009,NIL 542,Functional
CAR,Baguio City,Baguio,5,1,Foton View / 2010,SKP-983,Functional
IV-A,Batangas ,Batangas,36,1,Ford Ranger 4x4 / 2007,ZLU 953-A022,Functional
IV-A,Batangas ,Batangas,36,1,Toyota Hiace Van / 2009,ZTT 719-A010,Functional
IV-A,Batangas ,Batangas,36,1,Toyota Hiace Van / 2009,ZTT 699-A009,Functional
CAR,Benguet,Benguet,7,1,Toyota Hiace Van / 1993,ZRL 603-A027,Functional
VII,Bohol ,Bohol,53,1,Toyota Hiace Van / 1993,ZRL 683-A028,serviceable
VII,Bohol ,Bohol,53,1,Ford Ranger 4x4 / 2009,NOP 522,serviceable
VI,Boracay ,Boracay,#N/A,1,Toyota Hiace Van / 2009,ZTT 749-A006,Functional
III,Bulacan ,Bulacan,8,1,Toyota Hiace Van / 2009,ZTR 794,Functional
III,Bulacan ,Bulacan,8,1,Toyota Hiace Van / 2009,ZTT 729-A009,Functional
NCR,Caloocan City ,Caloocan,26,1,KIA Besta Van/ 1999,SFC 750,For transfer to Zamboanga
NCR,Caloocan City ,Caloocan,26,1,Fuso Canter / 1995,ZRL 693-A032,for repair
IV-B,Camarines Sur ,Camarines Sur,47,1,Ford Ranger 4x4 / 2009,NIT 971,Functional
VI,Capiz ,Capiz,54,1,Ford Ranger 4x4 / 2009,NOP 602,Functional
IV-B,Catanduanes ,Catanduanes,48,1,Kia Besta Van / 1999,CPS 617,Functional
IV-A,Cavite ,Cavite,37,1,Toyota Hiace Van / 2009,ZTT 739-A007,Functional
IV-A,Cavite ,Cavite,37,1,Toyota Hiace Van / 1993,RDL 173,Functional
VII,Cebu ,Cebu,55,1,Toyota Hiace Van / 2009,ZTT 699,Functional
XII,Cotabato ,Cotabato,73,1,Toyota Hiace Van / 2012,WII 751,Functional
XII,Davao City ,Davao City,74,1,Ford Ranger 4x4 / 2009,NIE 472,Functional
XI,Davao del Sur ,Davao del Sur,76,1,Toyota Hiace Van / 2009,ZTT 709-A012,Good condition
VIII,Eastern Samar ,Eastern Samar,56,1,Toyota Hiace Van,WII 801-A036,Good condition
XII,General Santos City ,General Santos,78,1,Toyota Hiace Van / 2009,ZRG 760-A011,Good Running Condition
XII,General Santos City ,General Santos,78,1,Ford Ranger 4x4 / 2009,NOP 857,Aircon at patients area needs repair
X,Gingoog City ,Gingoog City,79,1,Kia Besta Van / 1997,WHM 771,Unserviceable
VI,Guimaras ,Guimaras,57,1,Ford Ranger 4x4 / 2007,ZLU 943-A018,Functional
VIII,Hilongos ,Hilongos,#N/A,1,Ford Ranger 4x4 / 2009,ZLU 392-A020,Functional
I,Ilocos Sur,Ilocos Sur,12,1,Toyota Hiace Van / 2009,ZRG 810-A014,Functional
VI,Ilo-Ilo ,IloIlo,58,1,Ford Ranger 4x4 / 2009,NOP 662,Good Running Condition
CAR,Kalinga ,Kalinga,14,1,Toyota D4D Hiace Van / 2009,ZSM 920-A017,Functional
I,La Union - SFC ,La Union,15,1,Kia Besta Van / 1999,WGZ 453,unservicable
I,La Union - SFC ,La Union,15,1,Ford Truck / 2000,SEM 270,unservisable / machine 
IV-A,Laguna,Laguna,38,1,Kia Besta Van / 1998,SEL 966,unservisable
IV-A,Laguna,Laguna,38,1,Ford Ambulance,NIS 892,good
IV-A,Laguna,Laguna,38,1,Toyota Hiace van / 2013,WII 791,Functional
